iter	MultiClass
0	0.9783591249
1	0.8772516311
2	0.7957347008
3	0.7274069092
4	0.6706689493
5	0.6181173188
6	0.5729390352
7	0.5316586153
8	0.497320297
9	0.4638333714
10	0.434805532
11	0.4079133984
12	0.3851205674
13	0.3624214915
14	0.3421865837
15	0.3241598785
16	0.3073018305
17	0.2921260652
18	0.2782687913
19	0.2644757129
20	0.2525533898
21	0.2411287613
22	0.2301810306
23	0.2204979071
24	0.211456289
25	0.2033544591
26	0.1949344327
27	0.1874133656
28	0.1804397117
29	0.1744647622
30	0.168430034
31	0.1632645229
32	0.1583220487
33	0.1536019151
34	0.148532401
35	0.144780089
36	0.1404799974
37	0.1363441979
38	0.1326929621
39	0.1294982064
40	0.1265349626
41	0.123220079
42	0.1210414305
43	0.1178544404
44	0.1159650824
45	0.113228526
46	0.1106356199
47	0.1082586592
48	0.1060603849
49	0.1041904679
50	0.1021814789
51	0.1006595966
52	0.09878882629
53	0.09701939779
54	0.09513485803
55	0.0936653047
56	0.09216171277
57	0.09055949336
58	0.08931470617
59	0.0876428848
60	0.08622886791
61	0.08508022335
62	0.08331780063
63	0.08206416261
64	0.08114147396
65	0.08035360566
66	0.07911195013
67	0.07803314291
68	0.07689764823
69	0.07602552139
70	0.07507798301
71	0.07397579586
72	0.07319064985
73	0.07220990381
74	0.07153359874
75	0.07077707345
76	0.07002834052
77	0.06892040097
78	0.06807313899
79	0.06711712282
80	0.06631358569
81	0.06565780905
82	0.06508239071
83	0.06435137031
84	0.06370574767
85	0.0632581557
86	0.06226252584
87	0.06150685463
88	0.06091119787
89	0.06046630007
90	0.06005064669
91	0.05934755531
92	0.05847592593
93	0.05766745282
94	0.0569523148
95	0.0563200812
96	0.05592735383
97	0.05529748984
98	0.0547726107
99	0.05425365882
100	0.05379787069
101	0.05306954635
102	0.05250890901
103	0.0519485412
104	0.05163931781
105	0.05116751451
106	0.0506386614
107	0.05026330296
108	0.04988555765
109	0.04930106865
110	0.04896709535
111	0.04863541845
112	0.04810765974
113	0.04774506648
114	0.04738672647
115	0.0469210625
116	0.04661683719
117	0.04637265057
118	0.04597558429
119	0.04571272788
120	0.04533215166
121	0.04502439406
122	0.04466172032
123	0.04425828557
124	0.043954356
125	0.04359671679
126	0.04311905618
127	0.0428122363
128	0.04246350519
129	0.04229840444
130	0.04206772826
131	0.0417783218
132	0.04156016889
133	0.04107570308
134	0.04077664157
135	0.04048900643
136	0.04026341951
137	0.0399863857
138	0.03969938649
139	0.03942862542
140	0.03915280036
141	0.03891104998
142	0.03871453679
143	0.03837730724
144	0.03813171259
145	0.03791350954
146	0.03762211431
147	0.03733455227
148	0.03710823411
149	0.03683255511
150	0.03647267684
151	0.03629959111
152	0.03607407338
153	0.03579226161
154	0.03560467978
155	0.03543963232
156	0.03517985266
157	0.03494244991
158	0.03468662568
159	0.03451554463
160	0.03429123208
161	0.03403195095
162	0.03379160545
163	0.03364118536
164	0.03349945845
165	0.03327222004
166	0.0330687585
167	0.03283859358
168	0.03263375739
169	0.03241250226
170	0.0322206785
171	0.03209181642
172	0.03194119299
173	0.0317147404
174	0.03151878982
175	0.03122998726
176	0.03104203643
177	0.03084880478
178	0.03072043339
179	0.03048799443
180	0.03025848039
181	0.03006395173
182	0.02989046219
183	0.02972690375
184	0.02958401224
185	0.02939549252
186	0.02927704027
187	0.02914894699
188	0.02894015414
189	0.02877884026
190	0.02864862111
191	0.02852083676
192	0.02839667301
193	0.0282552353
194	0.02806191509
195	0.02790434982
196	0.0277976826
197	0.0276644435
198	0.02750136875
199	0.02726577427
200	0.02710068862
201	0.02687241843
202	0.02673370955
203	0.02667606373
204	0.02650695386
205	0.0263587142
206	0.02622624911
